timestamp_utc_iso,category,input_file,n,seed,rep_id,elapsed_ms,cpu_ms,comparisons,swaps,correct,std_sort_ms,recursion_depth,bad_split_count
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,42,0,0,0,735,333,1,0,13,4
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,43,1,0,0,596,343,1,0,12,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,44,2,0,0,627,321,1,0,14,1
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,45,3,0,0,623,355,1,0,11,4
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,46,4,0,0,744,235,1,0,16,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,47,5,0,0,598,329,1,0,10,1
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,48,6,0,0,678,259,1,0,12,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,49,7,0,0,594,297,1,0,11,0
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,50,8,0,0,594,321,1,0,12,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,51,9,0,0,615,297,1,0,13,1
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,52,10,0,0,596,321,1,0,13,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,53,11,0,0,707,257,1,0,15,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,54,12,0,0,612,349,1,0,11,3
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,55,13,0,0,682,311,1,0,13,6
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,56,14,0,0,629,311,1,0,11,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,57,15,0,0,712,367,1,0,13,4
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,58,16,0,0,675,335,1,0,12,6
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,59,17,0,0,640,349,1,0,12,4
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,60,18,0,0,615,301,1,0,13,2
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_100.txt,100,61,19,0,0,570,315,1,0,10,1
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,42,0,0,0,11264,5130,1,0,20,34
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,43,1,0,0,10670,4641,1,0,20,23
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,44,2,0,0,10725,5442,1,0,20,26
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,45,3,0,0,11974,6001,1,0,22,33
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,46,4,0,0,10935,5743,1,0,25,33
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,47,5,0,0,10049,4713,1,0,20,17
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,48,6,0,0,10546,5384,1,0,21,33
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,49,7,0,0,10144,5131,1,0,19,25
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,50,8,0,0,11060,4802,1,0,22,26
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,51,9,0,0,10996,6036,1,0,19,26
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,52,10,0,0,10533,5621,1,0,21,25
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,53,11,0,0,10909,5782,1,0,22,20
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,54,12,0,0,11232,5316,1,0,23,27
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,55,13,0,0,11362,5760,1,0,20,21
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,56,14,0,0,11229,4670,1,0,23,25
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,57,15,0,0,11265,5856,1,0,21,26
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,58,16,0,0,10333,5088,1,0,20,20
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,59,17,0,0,10655,5361,1,0,21,24
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,60,18,0,0,10027,5195,1,0,18,27
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_1000.txt,1000,61,19,0,0,11370,4917,1,0,21,29
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_10000.txt,10000,42,0,0,0,147515,73366,1,0,29,254
2025-11-22T05:31:17Z,uniform,./datasets/qsort/uniform/uniform_10000.txt,10000,43,1,0,0,151364,73882,1,0,31,287
